,word,count
461,sexy,3
462,silence,1
463,slip,1
464,somebody,3
465,square,1
466,stars,1
467,stay,3
468,take,5
469,tell,3
470,thank,1
471,that,1
472,till,3
473,times,1
474,tip,1
475,toein,1
476,tomorrow,9
477,tonight,47
478,took,1
479,top,2
480,want,13
481,way,1
482,working,1
483,world,1
484,yeah,1
485,yet,1
486,yo,7
487,all,1
488,anything,3
489,asked,2
490,baby,4
491,back,1
492,bad,1
493,beat,1
494,black,3
495,blade,3
496,blue,1
497,body,1
498,brain,3
499,brakes,1
500,bullet,3
501,burn,1
502,car,1
503,catch,3
504,cause,3
505,come,1
506,darling,1
507,devil,1
508,did,1
509,die,3
510,easy,2
511,ever,4
512,eyes,1
513,face,1
514,fire,1
515,first,1
516,flames,1
517,front,3
518,gave,2
519,get,1
520,give,3
521,go,4
522,grenade,3
523,hand,3
524,hey,1
525,jump,3
526,kiss,1
527,know,3
528,known,1
529,liar,1
530,live,1
531,love,2
532,loved,1
533,mad,1
534,me,1
535,never,3
536,no,7
537,numb,1
538,oh,4
539,ooh,2
540,open,2
541,pain,3
542,rip,1
543,said,2
544,smile,1
545,still,1
546,straight,3
547,take,6
548,tell,1
549,that,2
550,throw,3
551,till,1
552,tossed,4
553,train,3
554,trash,4
555,trouble,1
556,understand,2
557,watch,1
558,wide,1
559,woman,2
560,would,6
561,ya,13
562,yeah,37
563,yes,4
564,you,2
565,afford,1
566,ain,10
567,although,4
568,ass,2
569,atari,1
570,baby,3
571,bad,4
572,beg,1
573,best,4
574,borrow,1
575,box,1
576,boyfriend,1
577,can,2
578,cause,1
579,change,4
580,cheap,1
581,cheat,1
582,chest,4
583,dad,4
584,digger,2
585,driving,4
586,enough,4
587,fair,1
588,falls,2
589,ferrari,1
590,fool,2
591,fuck,16
592,game,1
593,get,1
594,girl,4
595,go,1
596,gold,2
597,got,2
598,guess,5
599,ha,4
600,hate,1
601,he,1
602,hurt,1
603,if,4
604,just,2
605,keep,1
606,know,3
607,lady,1
608,lie,1
609,like,7
610,little,1
611,love,9
612,mama,1
613,me,1
614,mean,1
615,mmm,1
616,news,2
617,nigga,2
618,oh,8
619,oho,1
620,one,1
621,oooh,25
622,ooohooohooo,2
623,pain,4
624,pity,2
625,play,1
626,please,1
627,pocket,4
628,really,1
629,richer,4
630,right,1
631,round,4
632,run,1
633,said,4
634,see,4
635,shit,10
636,so,1
637,sorry,1
638,steal,1
639,still,9
640,tell,2
641,there,4
642,this,1
643,thought,2
644,told,1
645,too,4
646,town,4
647,tried,1
648,trying,2
649,ve,2
650,wanna,2
651,way,1
652,well,2
653,why,4
654,wish,4
655,yeah,2
656,yes,1
657,you,17
658,your,1
659,ain,1
660,air,1
661,always,1
662,american,1
663,away,5
664,ba,28
665,back,2
666,ball,1
667,bass,49
668,beat,5
669,beating,3
670,better,2
671,blazin,1
672,boom,87
673,booming,1
674,bottles,1
675,boy,4
676,boys,2
677,build,1
678,can,4
679,cap,1
680,chuck,2
681,club,1
682,coach,1
683,coke,1
684,cold,1
685,come,1
686,coming,5
687,cooling,1
688,could,2
689,coupes,2
690,crew,1
691,deal,1
692,deck,1
693,deuce,2
694,did,4
695,do,1
696,doom,28
697,dope,1
698,down,1
699,drip,2
700,drum,3
701,dude,1
702,dudes,2
703,entrepreneur,1
704,even,1
705,excuse,2
706,eye,1
707,eyes,1
708,feminine,1
709,fitted,1
710,fly,2
711,for,1
712,get,1
713,give,2
714,go,1
715,got,14
716,gotta,2
717,guy,3
718,guys,1
719,he,6
720,hear,5
721,heart,5
722,hell,2
723,hoe,1
724,ill,1
725,is,1
726,kinda,2
727,kiss,1
728,know,2
729,life,1
730,like,9
731,lip,2
732,lo,1
733,look,2
734,looking,2
735,loving,1
736,mack,3
737,make,1
738,me,2
739,mean,3
740,might,2
741,minaj,2
742,moguls,1
743,motherfucker,1
744,my,4
745,need,1
746,never,1
747,nicki,2
748,niggas,1
749,no,10
750,off,1
751,oh,4
752,on,2
753,one,2
754,panties,1
755,pelican,1
756,please,2
757,polos,1
758,pop,1
759,put,1
760,real,1
761,really,1
762,right,1
763,running,4
764,said,2
765,sailor,1
766,saving,1
767,see,1
768,sell,1
769,ship,2
770,shy,1
771,sickening,1
772,side,1
773,sigh,1
774,slapped,1
775,slicker,1
776,solo,1
777,somebody,2
778,stacks,1
779,stay,2
780,super,12
781,systems,2
782,tell,2
783,that,7
784,thing,2
785,think,2
786,tie,1
787,top,1
788,touch,1
789,trip,2
790,try,1
791,uh,1
792,up,6
793,way,4
794,yeah,8
795,yes,5
796,aim,1
797,away,1
798,baby,1
799,behave,1
800,believe,1
801,big,1
802,broken,1
803,car,1
804,control,5
805,drunk,3
806,ego,1
807,eh,1
808,else,2
809,eyes,3
810,feel,2
811,feels,2
812,gears,1
813,get,2
814,give,1
815,goes,3
816,gonna,2
817,got,13
818,hard,1
819,head,1
820,heart,1
821,hey,3
822,inside,1
823,jagger,18
824,keep,2
825,key,1
826,kid,1
827,kiss,3
828,know,4
829,learn,1
830,like,23
831,ll,12
832,look,3
833,make,3
834,maybe,1
835,moves,18
836,naked,1
837,need,3
838,night,1
839,nobody,2
840,nothing,1
841,oh,4
842,okay,1
843,ooh,1
844,put,1
845,ride,1
846,right,3
847,rub,1
848,say,1
849,scarred,1
850,secret,2
851,see,2
852,share,2
853,shifting,1
854,shit,1
855,shoot,1
856,show,5
857,smile,1
858,stars,1
859,steer,1
860,swear,1
861,take,6
862,this,1
863,till,3
864,toe,1
865,tongue,3
866,try,3
867,twice,1
868,uh,2
869,ve,13
870,waited,1
871,wanna,2
872,want,1
873,wanted,1
874,watch,1
875,well,1
876,wherever,1
877,woo,2
878,yeah,4
879,addicted,7
880,afflicted,1
881,ain,1
882,all,2
883,around,1
884,away,1
885,baby,3
886,back,2
887,bed,1
888,best,1
889,bout,1
890,boy,3
891,brother,1
892,can,27
893,cleanin,1
894,cloud,2
895,cold,1
896,come,5
897,comin,1
898,confess,1
899,convo,1
900,could,3
901,damn,1
902,day,3
903,demon,1
904,dirty,1
905,dose,1
906,down,1
907,dreamin,2
908,ecsta,1
909,electro,1
910,enough,17
911,erase,1
912,evenin,1
913,every,3
914,feelin,3
915,feignin,1
916,fiend,1
917,fishin,1
918,flo,1
919,form,1
920,forth,1
921,get,18
922,girl,1
923,give,1
924,givin,1
925,gleamin,1
926,got,9
927,head,1
928,heart,3
929,help,2
930,high,3
931,holler,1
932,honey,2
933,hotness,1
934,inception,1
935,inside,3
936,it,1
937,jo,1
938,jump,3
939,king,1
940,knocked,1
941,know,3
942,let,1
943,like,3
944,line,1
945,lock,1
946,locked,1
947,lol,1
948,long,1
949,louder,1
950,love,11
951,lovin,1
952,makin,1
953,mama,1
954,mean,1
955,meanin,2
956,meantime,1
957,memory,1
958,mind,1
959,miss,1
960,mr,1
961,name,1
962,need,2
963,new,1
964,next,2
965,night,3
966,oh,2
967,ory,1
968,perfection,1
969,please,2
970,presto,1
971,pumpin,2
972,queen,1
973,quit,2
974,right,2
975,roboto,1
976,rock,1
977,runnin,1
978,screamin,1
979,sexy,1
980,shot,2
981,signed,1
982,smile,1
983,so,2
984,somethin,1
985,steamin,1
986,step,2
987,stop,2
988,stuck,1
989,sunk,1
990,sweet,1
991,switchup,8
992,team,1
993,text,1
994,think,3
995,this,1
996,though,1
997,time,3
998,toast,1
999,tryin,1
1000,vexed,1
1001,wait,1
1002,wanna,7
1003,want,2
1004,way,3
1005,wish,1
1006,won,2
1007,xo,1
1008,yeah,1
1009,yes,1
1010,yo,1
1011,you,3
1012,act,1
1013,africa,2
1014,ain,2
1015,animal,1
1016,away,4
1017,baby,2
1018,back,1
1019,badonkadonk,1
1020,bass,1
1021,believe,1
1022,blaaaaaaaahh,1
1023,body,1
1024,brain,1
1025,brazil,2
1026,break,1
1027,cause,1
1028,change,1
1029,chevy,1
1030,chicka,1
1031,chunka,1
1032,clap,1
1033,club,1
1034,coke,1
1035,confused,1
1036,criminal,1
1037,dale,7
1038,dance,4
1039,die,1
1040,don,1
1041,donka,1
1042,donkey,1
1043,drink,2
1044,drinks,2
1045,drop,1
1046,everybody,1
1047,floor,30
1048,fool,1
1049,freak,1
1050,full,1
1051,games,1
1052,generation,1
1053,get,9
1054,getting,2
1055,go,1
1056,gon,7
1057,got,1
1058,gotta,1
1059,grab,2
1060,hands,1
1061,hard,1
1062,heavy,1
1063,hey,2
1064,ho,2
1065,huh,1
1066,ibiza,2
1067,ill,1
1068,inception,1
1069,introduce,1
1070,it,2
1071,jennifer,3
1072,keep,3
1073,keith,1
1074,kill,1
1075,know,2
1076,knows,1
1077,konged,1
1078,la,21
1079,let,3
1080,life,2
1081,like,3
1082,little,2
1083,live,2
1084,ll,1
1085,lo,1
1086,london,2
1087,loose,1
1088,lopez,3
1089,lose,1
1090,miami,1
1091,mine,1
1092,more,1
1093,morocco,2
1094,moving,2
1095,mr,1
1096,name,1
1097,need,1
1098,never,2
1099,new,4
1100,night,4
1101,now,2
1102,old,1
1103,on,1
1104,one,1
1105,oose,1
1106,or,1
1107,party,3
1108,people,2
1109,pick,1
1110,pitbull,4
1111,play,2
1112,probably,1
1113,pump,1
1114,put,2
1115,quick,1
1116,quit,1
1117,re,1
1118,ready,1
1119,red,1
1120,rest,1
1121,rhythm,1
1122,rock,1
1123,rockin,1
1124,running,1
1125,say,1
1126,school,1
1127,see,1
1128,sh,1
1129,sick,1
1130,side,1
1131,sleep,1
1132,snooze,2
1133,somebody,2
1134,stay,2
1135,steal,1
1136,step,1
1137,stop,2
1138,straight,2
1139,sweat,2
1140,tear,1
1141,things,1
1142,time,7
1143,tonight,8
1144,tonka,1
1145,trail,1
1146,train,1
1147,truck,2
1148,trunk,1
1149,truth,2
1150,up,2
1151,vegas,2
1152,vet,1
1153,vodka,1
1154,watch,1
1155,we,2
1156,what,2
1157,whoa,9
1158,work,1
1159,world,1
1160,worldwide,1
1161,wrong,3
1162,ye,1
1163,yeah,7
1164,york,3
1165,young,2
1166,affliction,2
1167,ah,3
1168,air,5
1169,back,1
1170,bad,6
1171,body,1
1172,bones,5
1173,boudoir,1
1174,box,2
1175,break,5
1176,bring,1
1177,care,5
1178,cause,6
1179,chains,5
1180,come,48
1181,could,1
1182,exactly,1
1183,excite,5
1184,feeling,3
1185,feels,1
1186,fine,2
1187,for,1
1188,give,1
1189,good,6
1190,great,2
1191,it,10
1192,leaves,2
1193,like,26
1194,line,2
1195,love,10
1196,make,1
1197,may,10
1198,me,1
1199,measure,1
1200,meet,1
1201,na,51
1202,nothing,1
1203,oh,47
1204,on,28
1205,outta,4
1206,pain,1
1207,perfectly,5
1208,pleasure,1
1209,say,1
1210,sex,5
1211,smell,5
1212,sticks,5
1213,stones,5
1214,strong,1
1215,there,1
1216,turn,1
1217,turning,1
1218,ve,1
1219,wanting,2
1220,way,1
1221,whips,5
1222,yearning,1
1223,around,1
1224,better,28
1225,box,1
1226,bringing,1
1227,bullet,7
1228,cause,1
1229,cigarette,2
1230,closet,1
1231,coming,4
1232,cowboy,1
1233,dad,1
1234,daddy,1
1235,day,1
1236,dinner,1
1237,even,1
1238,faster,7
1239,fire,1
1240,found,1
1241,fun,1
1242,got,2
1243,gun,8
1244,hair,1
1245,hand,2
1246,hanging,1
1247,he,8
1248,home,2
1249,ice,1
1250,kicks,14
1251,kid,1
1252,kids,14
1253,kitchen,1
1254,know,1
1255,late,2
1256,ll,2
1257,long,2
1258,look,1
1259,lost,1
1260,mouth,1
1261,must,1
1262,outrun,7
1263,packed,1
1264,plan,1
1265,pull,1
1266,pumped,14
1267,quick,2
1268,reason,1
1269,robert,1
1270,rolled,1
1271,room,1
1272,ru,11
1273,run,44
1274,say,1
1275,shooter,1
1276,six,1
1277,sleight,1
1278,surprise,1
1279,tell,1
1280,things,1
1281,time,1
1282,trigger,1
1283,ve,1
1284,wait,1
1285,waited,1
1286,wits,1
1287,works,1
1288,yeah,5
1289,you,2
1290,your,1
1291,ale,1
1292,always,3
1293,arrest,1
1294,bar,3
1295,barbecue,1
1296,barbies,1
1297,bed,1
1298,blacked,2
1299,blur,2
1300,boss,1
1301,boulevard,3
1302,broke,3
1303,bruise,1
1304,car,1
1305,cards,3
1306,chandelier,1
1307,city,1
1308,connect,1
1309,credit,3
1310,damn,2
1311,danced,3
1312,dark,3
1313,dipping,3
1314,dj,1
1315,dots,1
1316,dress,1
1317,ended,2
1318,epic,1
1319,fail,1
1320,favorite,1
1321,flamingos,1
1322,floor,1
1323,forgot,3
1324,friday,18
1325,ginger,1
1326,glitter,1
1327,gonna,3
1328,got,3
1329,head,1
1330,hickey,1
1331,hit,3
1332,kicked,3
1333,kissed,3
1334,know,1
1335,last,14
1336,law,3
1337,like,1
1338,many,3
1339,maxed,3
1340,minibar,1
1341,ménage,3
1342,need,1
1343,night,20
1344,oh,2
1345,online,2
1346,op,3
1347,park,3
1348,party,1
1349,passed,1
