,title,artist,year,spotify_id
38,Bam Bam,Camila Cabello Featuring Ed Sheeran,2022,0QBzMgT7NIeoCYy3sJCof1
39,Handsomer,Russ Featuring Ktlyn,2022,0vp1sk3FzuDBeLMLcRhQdL
40,Love Nwantiti (Ah Ah Ah),CKay,2022,2Xr1dTzJee307rmrkt8c0g
41,Beers On Me,"Dierks Bentley, BRELAND & HARDY",2022,19ZzEzb4BVK1wVO4brrmZz
42,Broadway Girls,Lil Durk Featuring Morgan Wallen,2022,3DZ8dbKg4OTSSqGARvecYd
43,Sand In My Boots,Morgan Wallen,2022,0uRrG2jRR5tuifsYIJHEao
44,Doin' This,Luke Combs,2022,6TpyujRefwsflWFXbmjVpj
45,Something In The Way,Nirvana,2022,1nFtiJxYdhtFfFtfXBv06s
46,Knife Talk,Drake Featuring 21 Savage & Project Pat,2022,2BcMwX1MPV6ZHP4tUT9uq6
47,Barbarian,Lil Durk,2022,6DPEzXUB3ZVzT2NDh7MkJt
48,Boyfriend,Dove Cameron,2022,59CfNbkERJ3NoTXDvoURjj
49,To Be Loved By You,Parker McCollum,2022,2pUQX4d3Cjh3umGkVz0XyI
50,Never Say Never,Cole Swindell / Lainey Wilson,2022,03kCiUPjdAV9ur9ugm8PQT
51,AA,Walker Hayes,2022,6aIrXGmaFqPafbYgxbMUsj
52,Shootout @ My Crib,Lil Durk,2022,23PzodQrNGxbywlba84Rva
53,Numb Little Bug,Em Beihold,2022,3o9kpgkIcffx0iSwxhuNI2
54,Started From,Lil Durk,2022,03cBu30KbreokkrclGPQf8
55,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,2022,0QULNNd9z5s35entfiiXoa
56,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",2022,4b1yxSdlumA8N4fEk4UOZp
57,Headtaps,Lil Durk,2022,3HWQrKGmb05pcNoTIzzBwL
58,She's All I Wanna Be,Tate McRae,2022,0IuVhCflrQPMGRrOyoY5RW
59,Smoking & Thinking,Lil Durk,2022,5ELEsgMwvWJald9BQbIgsV
60,23,Sam Hunt,2022,4PuAqZlL1tkidkuxfDlLbF
61,Slow Down Summer,Thomas Rhett,2022,6c9mvipi1OooFPcU2dbwxq
62,Peru,Fireboy DML & Ed Sheeran,2022,3s1KwrLP0NlFWiWbjz6bfQ
63,The Motto,Tiesto & Ava Max,2022,18asYwWugKjjsihZ0YvRxO
64,Grow Up/Keep It On Speaker,Lil Durk,2022,4AP3P2EVKANYuJk3Fi3v6Y
65,Do We Have A Problem?,Nicki Minaj X Lil Baby,2022,70Gw6yQcnYCBKXTFONiDtc
66,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,2022,3XoYqtiWHhsk59frZupImG
67,Nail Tech,Jack Harlow,2022,62Yo3FDddWY8ydu6PW2wyz
68,Blocklist,Lil Durk,2022,79cq3PF1wgkDVTAFMlOjNB
69,Me Or Sum,"Nardo Wick, Lil Baby & Future",2022,2HHLfzE7PkljuqyYU4vwmh
70,Heart On Fire,Eric Church,2022,0ysCB1Jg4hli0XlEWlipo7
71,Dos Oruguitas,Sebastian Yatra,2022,5rohUzwEoRsUvAA1Bf3DLo
72,Difference Is,Lil Durk Featuring Summer Walker,2022,1qzoBWC6US7szlOsIQ1VxZ
73,Circles Around This Town,Maren Morris,2022,13G5xv1wUKvJYbK0wYmioN
74,Freaky Deaky,Tyga X Doja Cat,2022,3vySEUpD0tc801F2WZDLYw
75,If I Was A Cowboy,Miranda Lambert,2022,6F7UOC6fPWOkPqybOWBHSv
76,Beautiful Lies,Yung Bleu & Kehlani,2022,3BjwSq6phb60SOdTZw5pZY
77,Flower Shops,ERNEST Featuring Morgan Wallen,2022,2ccuOtUjIyx3tPcsnpeBzJ
78,Sacrifice,The Weeknd,2022,1agdUoJsYEqdMX6xZH9dZN
79,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),2022,3xVZYkcuWalGudeKl861wb
80,To The Moon!,JNR CHOI & Sam Tompkins,2022,5vUnjhBzRJJIAOJPde6zDx
81,P Power,Gunna Featuring Drake,2022,0lEjxUUlKqjqXrVlIHFduD
82,High,The Chainsmokers,2022,09AvsbivV1FQBRAEBJh7UL
83,Pressure,Ari Lennox,2022,6ElfCM1XppU0YWkkFYh4s2
84,Federal Nightmares,Lil Durk,2022,4W730PJT4aw79pZ9D8BLhl
85,Rumors,Gucci Mane Featuring Lil Durk,2022,0P2P1AxcRYhiZvoF5MyRmM
86,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,2022,7yRJMLG9ja0fBVVEmV6vcT
87,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,2022,1yRke3PmsyFrYlFZOAkABk
88,I Love You So,The Walters,2022,4SqWKzw0CbA05TGszDgMlc
89,Banking On Me,Gunna,2022,7Fege3yv4dvehB3NdRBGwI
90,Give Heaven Some Hell,HARDY,2022,2bVeUlOC5JjTpkQXuUUoYm
91,I'm Tired,Labrinth & Zendaya,2022,6LtHYDgYHRCHoKK3snfr2w
92,Bones,Imagine Dragons,2022,0HqZX76SFLDz2aW8aiqi7G
93,Rocking A Cardigan In Atlanta,Lil Shordie Scott,2022,0N0h5lXc4HOiLgGb9EZi8m
94,Pissed Me Off,Lil Durk,2022,52nTQQahs46s1iHFQ3Wv5Q
95,By Your Side,Rod Wave,2022,2AaJeBEq3WLcfFW1y8svDf
96,Waiting On A Miracle,Stephanie Beatriz,2022,3oRW9ZGPRbLRMneQ5lwflt
97,I Hate YoungBoy,YoungBoy Never Broke Again,2022,3itijJswMR7p7RbfqlYf1Z
98,City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",2022,4huBDGP4I3S0pYI0EaRN1c
