,title,artist,year,spotify_id
0,Heat Waves,Glass Animals,2022,02MWAaffLxlfxAUY7c5dvx
1,Stay,The Kid LAROI & Justin Bieber,2022,5HCyWlXZPP0y6Gqq8TgA20
2,Super Gremlin,Kodak Black,2022,4A8cWXxKfIL3lAyUDzXbCF
3,abcdefu,GAYLE,2022,4fouWK6XVHhzl78KzQ1UjL
4,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",2022,52xJxFP6TqMuO4Yt0eOkMz
5,Ghost,Justin Bieber,2022,6I3mqTwhRpn34SLVafSH7G
6,Easy On Me,Adele,2022,0gplL1WMoJ6iYaPgMCL0gX
7,Enemy,Imagine Dragons X JID,2022,4qXKkOZ691yYgQu4Lunrds
8,Thats What I Want,Lil Nas X,2022,0e8nrvls4Qqv5Rfa2UhqmO
9,Bad Habits,Ed Sheeran,2022,3rmo8F54jFF8OgYsqTxm5d
10,Shivers,Ed Sheeran,2022,50nfwKoDiSYg8zOCREWAm5
11,Woman,Doja Cat,2022,6Uj1ctrBOjOas8xZXGqKk4
12,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2022,6zSpb8dQRaw0M1dK8PBwQz
13,Big Energy,Latto,2022,6Zu3aw7FfjAF9WA0fA81Oq
14,Sweetest Pie,Megan Thee Stallion & Dua Lipa,2022,7mFj0LlWtEJaEigguaWqYh
15,Need To Know,Doja Cat,2022,3Vi5XqYrmQgOYBajMWSvCi
16,Save Your Tears,The Weeknd & Ariana Grande,2022,5QO79kh1waicV47BqGRL3g
17,Ahhh Ha,Lil Durk,2022,54VFhe501kUbDYj2OrueMp
18,Levitating,Dua Lipa,2022,5nujrmhLynf4yMoMtj8AQF
19,Pushin P,Gunna & Future Featuring Young Thug,2022,3XOalgusokruzA5ZBA2Qcb
20,Industry Baby,Lil Nas X & Jack Harlow,2022,27NovPIUIRrOZoCHxABJwK
21,'Til You Can't,Cody Johnson,2022,4k3lPl8YTKuY8c1HelVnm3
22,One Right Now,Post Malone & The Weeknd,2022,00Blm7zeNqgYLPtW6zg8cj
23,What Happened To Virgil,Lil Durk Featuring Gunna,2022,7ohROa13QK43JBRqfCmz4P
24,I Hate U,SZA,2022,5dXWFMwD7I7zXsInONVl0H
25,Petty Too,Lil Durk Featuring Future,2022,0VlpgNPHWCyh8xxLcaK2fp
26,Hrs And Hrs,Muni Long,2022,3ncmoWTwJgx63LwMTyBCXf
27,MAMIII,Becky G X Karol G,2022,7FlQk2gJ6TBrHHiidvdR2O
28,Surface Pressure,Jessica Darrow,2022,760jhRscwGbIIe1m1IIQpU
29,No Interviews,Lil Durk,2022,1tXDziDamT0we73CTDsgsv
30,You Right,Doja Cat & The Weeknd,2022,0k4d5YPDr1r7FX77VdqWez
31,Good 4 U,Olivia Rodrigo,2022,4ZtFanR9U6ndgddUvNcjcG
32,Light Switch,Charlie Puth,2022,1jEBSDN5vYViJQr78W7jr2
33,Golden Child,Lil Durk,2022,4UO8Ywh6dKZVJZ9iUofEhD
34,Buy Dirt,Jordan Davis Featuring Luke Bryan,2022,69AIpwGNLxr4qS1X5ynx60
35,Fancy Like,Walker Hayes,2022,58UKC45GPNTflCN6nwCUeF
36,Thinking With My Dick,Kevin Gates Featuring Juicy J,2022,1ojBtNRMzjL7ptLPZCzfRz
37,Fingers Crossed,Lauren Spencer-Smith,2022,3yMC1KsTwh0ceXdIe4QQAQ
