"X","title","artist","year","spotify_id","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
0,"Heat Waves","Glass Animals",2022,"02MWAaffLxlfxAUY7c5dvx",0,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4,0,0
1,"Stay","The Kid LAROI & Justin Bieber",2022,"5HCyWlXZPP0y6Gqq8TgA20",0,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,141806,4,0,0
2,"Super Gremlin","Kodak Black",2022,"4A8cWXxKfIL3lAyUDzXbCF",0,0.825,0.414,2,-6.634,1,0.144,0.00265,0,0.357,0.106,72.993,200548,4,0,0
3,"abcdefu","GAYLE",2022,"4fouWK6XVHhzl78KzQ1UjL",0,0.695,0.54,4,-5.692,1,0.0493,0.299,0,0.367,0.415,121.932,168602,4,0,0
4,"We Don't Talk About Bruno","Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",2022,"52xJxFP6TqMuO4Yt0eOkMz",0,0.577,0.45,0,-8.516,0,0.0834,0.357,0,0.111,0.83,205.863,216120,4,0,0
5,"Ghost","Justin Bieber",2022,"6I3mqTwhRpn34SLVafSH7G",0,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,4,0,0
6,"Easy On Me","Adele",2022,"0gplL1WMoJ6iYaPgMCL0gX",0,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,224695,4,0,0
7,"Enemy","Imagine Dragons X JID",2022,"4qXKkOZ691yYgQu4Lunrds",0,0.724,0.782,2,-4.437,1,0.289,0.21,0,0.44,0.528,76.984,173381,4,0,0
8,"Thats What I Want","Lil Nas X",2022,"0e8nrvls4Qqv5Rfa2UhqmO",0,0.737,0.846,1,-4.51,0,0.22,0.00614,0,0.0486,0.546,87.981,143901,4,0,0
9,"Bad Habits","Ed Sheeran",2022,"3rmo8F54jFF8OgYsqTxm5d",0,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747,4,0,0
10,"Shivers","Ed Sheeran",2022,"50nfwKoDiSYg8zOCREWAm5",0,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,207853,4,0,0
