Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5tzcReCKuj6qYbQQVS0ehG,"5Hini2nQyoglzpdKe41cZt","Cryptic Speech - Original Mix","Cryptic Speech EP","UMEK",2021-04-09,354503,50,spotify:user:groovebassment,2022-05-08T16:16:16Z,"dark techno,minimal techno,raw techno,slovenian electronic,tech house,techno",0.741,0.948,2,-4.822,1,0.0439,0.00398,0.827,0.103,0.177,131.011,4
1VXtzlAgPd4lViuP1rxZIE,"5RKz5nG67MROnbKyfbIQYF,538AGkkV4ipbxcHx47TvxA","Fancy Like","Fancy Like","Nick Raff,Justri",2022-06-10,173333,30,spotify:user:groovebassment,2022-06-09T22:01:05Z,"",0.799,0.978,11,-5.626,0,0.109,0.000351,0.403,0.088,0.934,125.971,4
1PDmUx7PnmEmPIvqC7GR3g,"21dVknSLCsK37cWozWDZZS,3IpAthjvdkddgfMSsURuMF","Honda - D-Unity Remix","Honda","Matt Sassari,D-Unity",2021-07-16,436691,30,spotify:user:groovebassment,2022-09-02T19:16:32Z,"french tech house,french techno",0.792,0.896,1,-6.011,1,0.0642,0.00607,0.892,0.107,0.0439,133.006,4
6TpiP0JqvbgzZ2OMQxWMOW,"7aBDKO8nJNF29RqTGHLWGf,2WtMImPEFSquxjNFhLkFNR","Speak","Chapter One","NoTune,Basicz",2022-06-03,328166,33,spotify:user:groovebassment,2022-06-12T12:31:05Z,"",0.739,0.679,6,-11.329,0,0.199,0.127,0.72,0.533,0.177,132.023,4
58ZWiJlyWFX8K8M7beO949,"5BSvQ8klrDFPpCJ3TujFoK","Don’t Wanna Sleep","Free Your Head","Carbon",2022-04-22,359093,14,spotify:user:groovebassment,2022-05-08T16:16:16Z,"melodic techno",0.774,0.7,7,-8.749,1,0.0584,0.000256,0.809,0.0639,0.152,126.01,4
78bd3VbVlCDdZyLzLHiFAW,"6DVp3oAnsFrxj1AlVBMux3","Insomnia","Insomnia","Evan De Novellis",2022-06-03,361500,28,spotify:user:groovebassment,2022-06-12T12:27:56Z,"",0.685,0.79,11,-9.961,0,0.0432,0.000821,0.824,0.0725,0.111,123,4
6BE6DIBB5ib3KqoMQvEgDp,"4h8IEOdrg60WM5XGyNOCVU","Plasma","We Control","Lilly Palmer",2022-04-08,235504,37,spotify:user:groovebassment,2022-05-08T16:16:16Z,"swiss techno",0.576,0.913,4,-4.94,0,0.0396,0.00089,0.92,0.0773,0.0379,133.984,4
3lG3vcIwbDLhcd6UClataM,"144HzhpLjcR9k37w5Ico9B","Hey Britney - Power Mix","Hey Britney","Deborah de Luca",2021-12-27,352000,53,spotify:user:groovebassment,2022-05-08T16:16:16Z,"electra,italian techno",0.761,0.995,8,-6.371,1,0.0581,0.000301,0.849,0.0792,0.12,134.992,4
5k5TtPbBNyTy5F7o0TqKVP,"7mC3RkNNTV6p2j9w4F8Ip4","Hyper World","Hyper World","Layton Giordani",2021-05-28,385190,41,spotify:user:groovebassment,2022-05-08T16:16:16Z,"dark techno,minimal techno",0.745,0.832,7,-6.217,1,0.0728,0.00243,0.901,0.11,0.0806,131.023,4
6m4thSVWt1uSR9HiVG3CjI,"4uffAXhsBEDAaO6cFU5GgV","Temeraire","Temeraire","Hools",2020-11-20,392742,28,spotify:user:groovebassment,2022-07-26T22:40:49Z,"",0.732,0.485,11,-8.334,1,0.0436,0.0000367,0.882,0.106,0.446,124,4
