,title,artist,year,spotify_id
0,As It Was,Harry Styles,2022,4LRPiXqCikLlN15c3yImP7
1,First Class,Jack Harlow,2022,0wHFktze2PHC5jDt3B17DC
2,Wait For U,Future Featuring Drake & Tems,2022,59nOXPmaKlBfGMDeOVGrIK
3,About Damn Time,Lizzo,2022,1PckUlxKqWQs3RlWXVBLw3
4,Heat Waves,Glass Animals,2022,02MWAaffLxlfxAUY7c5dvx
5,Big Energy,Latto,2022,6Zu3aw7FfjAF9WA0fA81Oq
6,Me Porto Bonito,Bad Bunny & Chencho Corleone,2022,6Sq7ltF9Qa7SNFBsV5Cogx
7,Running Up That Hill (A Deal With God),Kate Bush,2022,29d0nY7TzCoi22XBqDQkiP
8,Late Night Talking,Harry Styles,2022,1qEmFfgcLObUfQm0j1W2CK
9,Stay,The Kid LAROI & Justin Bieber,2022,5HCyWlXZPP0y6Gqq8TgA20
10,Titi Me Pregunto,Bad Bunny,2022,1IHWl5LamUGEuP4ozKQSXZ
11,Enemy,Imagine Dragons X JID,2022,4qXKkOZ691yYgQu4Lunrds
12,Wasted On You,Morgan Wallen,2022,3cBsEDNhFI9E82vPj3kvi3
13,Moscow Mule,Bad Bunny,2022,6Xom58OOXk2SoU711L2IXO
14,Ghost,Justin Bieber,2022,6I3mqTwhRpn34SLVafSH7G
15,Boyfriend,Dove Cameron,2022,59CfNbkERJ3NoTXDvoURjj
16,Woman,Doja Cat,2022,6Uj1ctrBOjOas8xZXGqKk4
17,Bad Habits,Ed Sheeran,2022,3rmo8F54jFF8OgYsqTxm5d
18,Numb Little Bug,Em Beihold,2022,3o9kpgkIcffx0iSwxhuNI2
19,Super Gremlin,Kodak Black,2022,4A8cWXxKfIL3lAyUDzXbCF
20,You Proof,Morgan Wallen,2022,5uU1uuyaUIBOiiUSQG7Wl3
21,True Love,Kanye West & XXXTENTACION,2022,06JvOZ39sK8D8SqiqfaxDU
22,Take My Name,Parmalee,2022,2afB4eV1KWBqLqFqME6PTh
23,Shivers,Ed Sheeran,2022,50nfwKoDiSYg8zOCREWAm5
24,Sweetest Pie,Megan Thee Stallion & Dua Lipa,2022,7mFj0LlWtEJaEigguaWqYh
25,Party,Bad Bunny & Rauw Alejandro,2022,4tYFy8ALRjIZvnvSLw5lxN
26,Bam Bam,Camila Cabello Featuring Ed Sheeran,2022,0QBzMgT7NIeoCYy3sJCof1
27,Thats What I Want,Lil Nas X,2022,0e8nrvls4Qqv5Rfa2UhqmO
28,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2022,6zSpb8dQRaw0M1dK8PBwQz
29,Despues de La Playa,Bad Bunny,2022,1dm6z1fWB0cErMszU25dy2
30,AA,Walker Hayes,2022,6aIrXGmaFqPafbYgxbMUsj
31,Trouble With A Heartbreak,Jason Aldean,2022,3HO30hRbkOLU6ZWERayfQO
32,Puffin On Zootiez,Future,2022,1qMMYpVatbRITKCfq1gasi
33,Provenza,Karol G,2022,7dSZ6zGTQx66c2GF91xCrb
34,MAMIII,Becky G X Karol G,2022,7FlQk2gJ6TBrHHiidvdR2O
35,Ojitos Lindos,Bad Bunny & Bomba Estereo,2022,3k3NWokhRRkEPhCzPmV8TW
36,Cooped Up,Post Malone Featuring Roddy Ricch,2022,6Ole34qqbgkZ60IyrcVm7e
37,'Til You Can't,Cody Johnson,2022,4k3lPl8YTKuY8c1HelVnm3
38,N95,Kendrick Lamar,2022,0fX4oNGBWO3dSGUZcVdVV2
39,Something In The Orange,Zach Bryan,2022,3WMj8moIAXJhHsyLaqIIHI
40,Music For A Sushi Restaurant,Harry Styles,2022,5LYMamLv12UPbemOaTPyeV
41,Matilda,Harry Styles,2022,6uvh0In7u1Xn4HgxOfAn8O
42,Thousand Miles,The Kid LAROI,2022,1r8ZCjfrQxoy2wVaBUbpwg
43,She's All I Wanna Be,Tate McRae,2022,0IuVhCflrQPMGRrOyoY5RW
44,In A Minute,Lil Baby,2022,3ihIZrJreMJPjQdNLrEXnP
45,Daylight,Harry Styles,2022,51Zw1cKDgkad0CXv23HCMU
46,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,2022,5cx7vkF8BQ0iOsVpfvZbnz
47,Damn Strait,Scotty McCreery,2022,4jp9FimhP2bQ93vR0A5r7b
48,Get Into It (Yuh),Doja Cat,2022,0W6I02J9xcqK8MtSeosEXb
49,Efecto,Bad Bunny,2022,5Eax0qFko2dh7Rl2lYs3bx
50,Silent Hill,Kendrick Lamar & Kodak Black,2022,3lzUeaCbcCDB5IXYfqWRlF
51,Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer",2022,2g6tReTlM2Akp41g0HaeXN
52,Hold My Hand,Lady Gaga,2022,0oWraSo5ASJ0h1BEagTyEw
53,2step,Ed Sheeran Featuring Lil Baby,2022,4Iz3vYtWDDbeU4ZG34SK44
54,Fall In Love,Bailey Zimmerman,2022,5gVCfYmQRPy1QJifP8f5gg
55,To The Moon!,JNR CHOI & Sam Tompkins,2022,5vUnjhBzRJJIAOJPde6zDx
56,Slow Down Summer,Thomas Rhett,2022,6c9mvipi1OooFPcU2dbwxq
57,Little Freak,Harry Styles,2022,3i058E8uxTsYqJ5NWZzqSj
58,See Wat I'm Sayin,Moneybagg Yo,2022,30vAfL9Wyu2fu07vdbZ1Xt
59,Die Young,Sleepy Hallow Featuring 347aidan,2022,6EbVuwU7EnKeF2hdpViXCH
60,Grapejuice,Harry Styles,2022,4j6kId9QIqhoXvqHKgSKa0
61,Un Ratito,Bad Bunny,2022,5CzixCxDkRXX9mScCmah8O
62,Tarot,Bad Bunny & Jhay Cortez,2022,41oY4WCTj5kccfesTVFnvN
63,When You're Gone,Shawn Mendes,2022,0U1W2LZVUX7qTm7dDpqxh6
64,Satellite,Harry Styles,2022,0rzaRSujxA0bKyjJl6vHYq
65,Like I Love Country Music,Kane Brown,2022,3j1xkzTW8owIphkWV51V9s
66,What Happened To Virgil,Lil Durk Featuring Gunna,2022,7ohROa13QK43JBRqfCmz4P
67,Never Say Never,Cole Swindell / Lainey Wilson,2022,03kCiUPjdAV9ur9ugm8PQT
68,Thought You Should Know,Morgan Wallen,2022,6NHpyYvJyQsg2nXXzGYc2R
69,If I Was A Cowboy,Miranda Lambert,2022,6F7UOC6fPWOkPqybOWBHSv
70,Potion,"Calvin Harris, Dua Lipa & Young Thug",2022,7fYRg3CEbk6rNCuzNzMT06
