Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2ntj6zoYOXfdQDzxo2kHrD,"2Xu7q46Hf02xOoEIm4E1Qs,3zTOe1BtyTkwNvYZOxXktX","Still Not a Player (feat. Joe)","The Legacy: The Best Of Big Pun","Big Pun,Joe",2009-09-15,236120,49,spotify:user:,2012-02-19T11:39:40Z,"bronx hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,hip pop,rap,southern hip hop,contemporary r&b,dance pop,neo soul,r&b,urban contemporary",0.902,0.653,4,-5.425,0,0.284,0.19,0.00102,0.0895,0.863,94.068,4
3bTQbgPlVaXPX9WyprolP6,"2DlGxzQSjYe5N6G9nkYghR,2Xu7q46Hf02xOoEIm4E1Qs,3ScY9CQxNLQei8Umvpx5g6","Feelin' So Good - Remix featuring Big Pun & Fat Joe","On The 6 / J. Lo (Coffret 2 CD)","Jennifer Lopez,Big Pun,Fat Joe",2003,326000,0,spotify:user:,2012-02-19T11:41:19Z,"dance pop,pop,pop rap,urban contemporary,bronx hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,hip pop,rap,southern hip hop,trap",0.738,0.84,10,-7.995,0,0.0606,0.00437,0.00629,0.0807,0.862,107.755,4
2mKouqwAIdQnMP43zxR89r,"3ScY9CQxNLQei8Umvpx5g6,1J2VVASYAamtQ3Bt8wGgA6,5rkVyNGXEgeUqKkB5ccK83","What's Luv? (feat. Ja-Rule & Ashanti)","Jealous Ones Still Envy (J.O.S.E)","Fat Joe,Ja Rule,Ashanti",2001-12-04,267093,74,spotify:user:,2012-02-19T11:42:55Z,"bronx hip hop,dance pop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,hip pop,pop rap,rap,trap,queens hip hop,urban contemporary,r&b",0.835,0.707,8,-5.074,1,0.0598,0.0219,0.0000219,0.108,0.919,93.955,4
2DIurys1rXOhgMkPiJjcVI,"63wjoROpeh5f11Qm93UiJ1,5K4W6rqBFWDnAN6FQUkS6x,21E3waRsmPlU7jZsS13rcj","Knock You Down","In A Perfect World...","Keri Hilson,Kanye West,Ne-Yo",2009,326186,0,spotify:user:,2012-02-19T11:47:11Z,"dance pop,hip pop,post-teen pop,r&b,urban contemporary,chicago rap,rap,pop",0.588,0.877,8,-4.78,1,0.16,0.00952,0,0.171,0.645,155.165,4
0DlVOdK5GJtnom4nI3EOz5,"1Y8cdNmUJH7yBTd9yOvr5i,4OBJLual30L7gRl5UkeRcT,55Aa2cqylxrFIXC767Z865","Soldier (feat. T.I. & Lil' Wayne)","Destiny Fulfilled","Destiny's Child,T.I.,Lil Wayne",2004,325573,56,spotify:user:,2012-02-19T11:51:27Z,"dance pop,girl group,hip pop,pop,r&b,urban contemporary,atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,new orleans rap",0.878,0.417,7,-6.799,1,0.361,0.0444,0,0.0833,0.904,77.49,4
3lPxKulLnBJlYMNVTmFkQz,"3nFkdlSjzX9mRTtwJOzDYB,6vWDO969PvNqNYHIOW5v0m","03' Bonnie & Clyde","The Hits Collection Volume One [International Version (Explicit)]","JAY-Z,Beyoncé",2010-11-22,205240,43,spotify:user:,2012-02-19T11:54:28Z,"east coast hip hop,hip hop,rap,dance pop,pop,r&b",0.87,0.765,9,-3.4,0,0.297,0.209,0,0.235,0.379,89.909,4
423EcxblW9F4nnQkqcqMlK,"6vWDO969PvNqNYHIOW5v0m,3nFkdlSjzX9mRTtwJOzDYB","Deja Vu (feat. Jay-Z)","B'Day Deluxe Edition","Beyoncé,JAY-Z",2007-05-29,240280,59,spotify:user:,2012-02-19T11:54:55Z,"dance pop,pop,r&b,east coast hip hop,hip hop,rap",0.644,0.746,7,-4.941,1,0.341,0.0071,0.0000122,0.0743,0.355,105.253,4
5lcW1x9duYBeWhVun0mdsc,"3nFkdlSjzX9mRTtwJOzDYB","Encore","The Hits Collection Volume One (Deluxe)","JAY-Z",2010-11-22,249920,0,spotify:user:,2012-02-19T11:58:42Z,"east coast hip hop,hip hop,rap",0.273,0.972,10,0.688,0,0.178,0.107,0.000228,0.972,0.552,103.687,4
7pO62ysbW2Wg5Y6pzKNEN7,"3nFkdlSjzX9mRTtwJOzDYB","Hard Knock Life - The Ghetto Anthem","Vol. 2 Hard Knock Life","JAY-Z",1998-09-29,238466,0,spotify:user:,2012-02-19T11:58:56Z,"east coast hip hop,hip hop,rap",0.86,0.674,9,-5.878,0,0.339,0.0912,0.00159,0.0322,0.592,77.005,4
7nmArpOotJ431XYlJXI1vy,"3nFkdlSjzX9mRTtwJOzDYB","Young Forever [Jay-Z + Mr Hudson]","The Blueprint 3","JAY-Z",2009-09-08,253906,0,spotify:user:,2012-02-19T11:59:17Z,"east coast hip hop,hip hop,rap",0.622,0.684,9,-3.253,0,0.0906,0.403,0,0.214,0.0795,140.286,4
69yVxyuRahEzs2taFMVVoO,"3nFkdlSjzX9mRTtwJOzDYB","Empire State Of Mind [Jay-Z + Alicia Keys]","The Blueprint 3","JAY-Z",2009-09-08,277400,0,spotify:user:,2012-02-19T12:00:36Z,"east coast hip hop,hip hop,rap",0.495,0.933,11,-3.977,1,0.395,0.0294,0,0.503,0.815,173.414,4
5M8nEsWqUkwUwCp58ydE4W,"3nFkdlSjzX9mRTtwJOzDYB","Run This Town [Jay-Z + Rihanna + Kanye West]","Run This Town [Jay-Z, Rihanna, & Kanye West]","JAY-Z",2009-07-24,267520,0,spotify:user:,2012-02-19T12:00:51Z,"east coast hip hop,hip hop,rap",0.653,0.928,1,-1.787,1,0.24,0.289,0,0.299,0.416,86.764,4
4FHu9bOzBjZurx89CMa42L,"5K4W6rqBFWDnAN6FQUkS6x,1lE6SEy8f84Zhjvp7r8yTD","All Falls Down","The College Dropout (Explicit)","Kanye West,Syleena Johnson",2004-01-01,223506,0,spotify:user:,2012-02-19T12:01:40Z,"chicago rap,rap,contemporary r&b,hip pop,neo soul,r&b,urban contemporary",0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,4
6xTHfOkgqjaIOKEWxYwsAu,"5K4W6rqBFWDnAN6FQUkS6x,4bYPcJP5jwMhSivRcqie2n","Heard 'Em Say","Late Registration","Kanye West,Adam Levine",2005-01-01,203733,0,spotify:user:,2012-02-19T12:02:38Z,"chicago rap,rap,deep talent show,neo mellow",0.727,0.696,7,-8.313,0,0.165,0.0535,0.0454,0.129,0.559,95.067,4
1pHmmvnRsCqI56r8NZecvq,"5K4W6rqBFWDnAN6FQUkS6x","Through The Wire","The College Dropout (Explicit)","Kanye West",2004-01-01,221226,0,spotify:user:,2012-02-19T12:03:24Z,"chicago rap,rap",0.571,0.739,7,-6.11,1,0.247,0.00865,0.00000521,0.158,0.66,83.089,4
5qswZLWRdEn4aN2k9L4B0P,"5K4W6rqBFWDnAN6FQUkS6x,0k7Xl1pqI3tu8sSEjo5oEg,2hZ6jVi1cao5VlJHAEPzU7","Drive Slow","Late Registration","Kanye West,Paul Wall,GLC",2005-01-01,272226,0,spotify:user:,2012-02-19T12:04:00Z,"chicago rap,rap,chopped and screwed,crunk,dirty south rap,gangster rap,houston rap,pop rap,southern hip hop,trap",0.589,0.588,11,-8.217,1,0.301,0.0324,0.0000101,0.23,0.495,81.27,1
