,title,artist,year,spotify_id
0,As It Was,Harry Styles,2022,4LRPiXqCikLlN15c3yImP7
1,About Damn Time,Lizzo,2022,1PckUlxKqWQs3RlWXVBLw3
2,First Class,Jack Harlow,2022,0wHFktze2PHC5jDt3B17DC
3,Running Up That Hill (A Deal With God),Kate Bush,2022,29d0nY7TzCoi22XBqDQkiP
4,Wait For U,Future Featuring Drake & Tems,2022,59nOXPmaKlBfGMDeOVGrIK
5,Jimmy Cooks,Drake Featuring 21 Savage,2022,3F5CgOj3wFlRv51JsHbxhe
6,Me Porto Bonito,Bad Bunny & Chencho Corleone,2022,6Sq7ltF9Qa7SNFBsV5Cogx
7,Heat Waves,Glass Animals,2022,02MWAaffLxlfxAUY7c5dvx
8,Break My Soul,Beyonce,2022,5pyoxDZ1PX0KxBxiRVxA4U
9,Big Energy,Latto,2022,6Zu3aw7FfjAF9WA0fA81Oq
10,Titi Me Pregunto,Bad Bunny,2022,1IHWl5LamUGEuP4ozKQSXZ
11,Wasted On You,Morgan Wallen,2022,3cBsEDNhFI9E82vPj3kvi3
12,Hot Shit,"Cardi B, Ye & Lil Durk",2022,3uJFmluXzYedoJcvhpC1AW
13,Glimpse Of Us,Joji,2022,6xGruZOHLs39ZbVccQTuPZ
14,Late Night Talking,Harry Styles,2022,1qEmFfgcLObUfQm0j1W2CK
15,Stay,The Kid LAROI & Justin Bieber,2022,5HCyWlXZPP0y6Gqq8TgA20
16,I Like You (A Happier Song),Post Malone Featuring Doja Cat,2022,0O6u0VJ46W86TxN9wgyqDj
17,Numb Little Bug,Em Beihold,2022,3o9kpgkIcffx0iSwxhuNI2
18,The Kind Of Love We Make,Luke Combs,2022,28n8z9IQKyjMPxmvYMBqZa
19,Sunroof,Nicky Youre & dazy,2022,4h4QlmocP3IuwYEj2j14p8
20,Get Into It (Yuh),Doja Cat,2022,0W6I02J9xcqK8MtSeosEXb
21,Ghost,Justin Bieber,2022,6I3mqTwhRpn34SLVafSH7G
22,Boyfriend,Dove Cameron,2022,59CfNbkERJ3NoTXDvoURjj
23,Sticky,Drake,2022,4rmVZajAF7PkrCagGPHbqa
24,Bad Habits,Ed Sheeran,2022,3rmo8F54jFF8OgYsqTxm5d
25,Moscow Mule,Bad Bunny,2022,6Xom58OOXk2SoU711L2IXO
26,Like I Love Country Music,Kane Brown,2022,3j1xkzTW8owIphkWV51V9s
27,You Proof,Morgan Wallen,2022,5uU1uuyaUIBOiiUSQG7Wl3
28,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2022,6zSpb8dQRaw0M1dK8PBwQz
29,Enemy,Imagine Dragons X JID,2022,4qXKkOZ691yYgQu4Lunrds
30,Vegas,Doja Cat,2022,0hquQWY3xvYqN4qtiquniF
31,Woman,Doja Cat,2022,6Uj1ctrBOjOas8xZXGqKk4
32,She Had Me At Heads Carolina,Cole Swindell,2022,200x8ONbPfFzByUr3fVz46
33,Shivers,Ed Sheeran,2022,50nfwKoDiSYg8zOCREWAm5
34,Super Gremlin,Kodak Black,2022,4A8cWXxKfIL3lAyUDzXbCF
35,Provenza,Karol G,2022,7dSZ6zGTQx66c2GF91xCrb
36,Something In The Orange,Zach Bryan,2022,3WMj8moIAXJhHsyLaqIIHI
37,Damn Strait,Scotty McCreery,2022,4jp9FimhP2bQ93vR0A5r7b
38,Take My Name,Parmalee,2022,2afB4eV1KWBqLqFqME6PTh
