,title,artist,year,spotify_id
39,Master Of Puppets,Metallica,2022,54bm2e3tk8cliUz3VSdCPZ
40,Thats What I Want,Lil Nas X,2022,0e8nrvls4Qqv5Rfa2UhqmO
41,Efecto,Bad Bunny,2022,5Eax0qFko2dh7Rl2lYs3bx
42,Fall In Love,Bailey Zimmerman,2022,5gVCfYmQRPy1QJifP8f5gg
43,I Ain't Worried,OneRepublic,2022,4h9wh7iOZ0GGn8QVp4RAOB
44,In A Minute,Lil Baby,2022,3ihIZrJreMJPjQdNLrEXnP
45,Sweetest Pie,Megan Thee Stallion & Dua Lipa,2022,7mFj0LlWtEJaEigguaWqYh
46,Left And Right,Charlie Puth Featuring Jung Kook,2022,0mBP9X2gPCuapvpZ7TGDk3
47,2step,Ed Sheeran Featuring Lil Baby,2022,4Iz3vYtWDDbeU4ZG34SK44
48,Thousand Miles,The Kid LAROI,2022,1r8ZCjfrQxoy2wVaBUbpwg
49,Despues de La Playa,Bad Bunny,2022,1dm6z1fWB0cErMszU25dy2
50,Trouble With A Heartbreak,Jason Aldean,2022,3HO30hRbkOLU6ZWERayfQO
51,Party,Bad Bunny & Rauw Alejandro,2022,4tYFy8ALRjIZvnvSLw5lxN
52,What Happened To Virgil,Lil Durk Featuring Gunna,2022,7ohROa13QK43JBRqfCmz4P
53,Rock And A Hard Place,Bailey Zimmerman,2022,4686eQ81DEswHa90bcdlC9
54,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,2022,5cx7vkF8BQ0iOsVpfvZbnz
55,Massive,Drake,2022,28JBD8p18xNuOfyV7Cotdn
56,Ojitos Lindos,Bad Bunny & Bomba Estereo,2022,3k3NWokhRRkEPhCzPmV8TW
57,Puffin On Zootiez,Future,2022,1qMMYpVatbRITKCfq1gasi
58,Cooped Up,Post Malone Featuring Roddy Ricch,2022,6Ole34qqbgkZ60IyrcVm7e
59,When You're Gone,Shawn Mendes,2022,0U1W2LZVUX7qTm7dDpqxh6
60,5 Foot 9,Tyler Hubbard,2022,6AqwH2Y9FJwhUE2dCSkw1u
61,Last Night Lonely,Jon Pardi,2022,3SeeaIXnrCfT88vHVCRWHl
62,Bam Bam,Camila Cabello Featuring Ed Sheeran,2022,0QBzMgT7NIeoCYy3sJCof1
63,Tarot,Bad Bunny & Jhay Cortez,2022,41oY4WCTj5kccfesTVFnvN
64,Hold My Hand,Lady Gaga,2022,0oWraSo5ASJ0h1BEagTyEw
65,Silent Hill,Kendrick Lamar & Kodak Black,2022,3lzUeaCbcCDB5IXYfqWRlF
66,Son Of A Sinner,Jelly Roll,2022,25VQoiuyc0HkC5FQTj1a8G
67,Flower Shops,ERNEST Featuring Morgan Wallen,2022,2ccuOtUjIyx3tPcsnpeBzJ
68,So Good,Halsey,2022,6kxaaIeowajN7w21PfMLbu
69,Good Love,City Girls & Usher,2022,52JFc40b28XJDROR3c4uAr
70,Wishful Drinking,Ingrid Andress With Sam Hunt,2022,3HGnIIdHYIbkowzLk8UHbE
71,Hotel Lobby (Unc And Phew),Quavo & Takeoff,2022,0QNNd0qMCDbraS1nQPg3aA
72,7500 OBO,Tim McGraw,2022,7A4WmJcWx6KrVRfQ2CP8e7
73,To The Moon!,JNR CHOI & Sam Tompkins,2022,5vUnjhBzRJJIAOJPde6zDx
74,F.N.F. (Let's Go),Hitkidd & GloRilla,2022,1vrFJDrysqmsNAgyjBzx4f
75,Country On,Luke Bryan,2022,1tRxwf8Q0AcshfHuaD86Yt
76,Whiskey On You,Nate Smith,2022,6Tm4Io4ct4w14nB1EUzsY3
77,New Truck,Dylan Scott,2022,4MDYIbU6I29Gjiu7JATTIJ
78,Circles Around This Town,Maren Morris,2022,13G5xv1wUKvJYbK0wYmioN
79,Wild As Her,Corey Kent,2022,4RG7P0CXQ4pe0OeCAHjX5L
80,Love Me More,Sam Smith,2022,16MQETUgqXwY4lZcyRafU3
81,More,j-hope,2022,4XKXphKH76W4zNpkgFS5o2
82,Numb,Marshmello & Khalid,2022,10xV5l9nhLvFpR8mqzs0bL
83,Cash In Cash Out,"Pharrell Williams Featuring 21 Savage & Tyler, The Creator",2022,3S68RFe1lsdCdTMPIMJM3X
84,Un Ratito,Bad Bunny,2022,5CzixCxDkRXX9mScCmah8O
85,Ghost Story,Carrie Underwood,2022,2FGOg7uYBfnspkPOISXTFY
86,Right On,Lil Baby,2022,6ws54n2IzyrIxxyzlG2bVJ
87,Thought You Should Know,Morgan Wallen,2022,6NHpyYvJyQsg2nXXzGYc2R
88,Te Felicito,Shakira & Rauw Alejandro,2022,2rurDawMfoKP4uHyb2kJBt
89,She Likes It,Russell Dickerson & Jake Scott,2022,6VVqPBFZIbcmv14zNfOc13
90,Plan B,Megan Thee Stallion,2022,2PljnVsnl2PRwCvfhbdQup
91,Desesperados,Rauw Alejandro & Chencho Corleone,2022,6mmPpaltUZK7xjNlBPQQ0p
92,La Corriente,Bad Bunny & Tony Dize,2022,1797zYiX4cKosMH836X9Gt
93,Bones,Imagine Dragons,2022,0HqZX76SFLDz2aW8aiqi7G
94,Until I Found You,Stephen Sanchez,2022,0T5iIrXA4p5GsubkhuBIKV
95,Best Thing Since Backroads,Jake Owen,2022,0R1REdJZIDy7IS3DybdBce
96,U-Digg,"Lil Baby, 42 Dugg & Veeze",2022,0b7UwotRCrS7qBoLDjfvSY
97,Unstoppable,Sia,2022,1yvMUkIOTeUNtNWlWRgANS
98,Rich Minion,Yeat,2022,1JIgFmCP5OCTEGV866WP3b
